year,gdp,gini,happiness
0,947610.99,,
1,924027.86,0.49,98.35
2,936162.21,0.49,97.58
3,827450.82,0.57,96.69
4,936712.99,0.51,96.99
5,875192.56,0.52,97.09
6,904379.30,0.53,94.64
7,804472.67,0.58,94.97
8,826799.61,0.58,96.16
9,1000241.05,0.54,96.51
10,981671.55,0.58,96.16
11,1015271.05,0.53,96.66
12,1000947.76,0.53,96.98
13,1140402.10,0.51,97.31
14,1073194.81,0.52,97.58
15,1044928.38,0.53,97.67
16,1140952.85,0.52,97.69
17,990172.75,0.58,97.19
18,1054540.02,0.52,99.22
19,1168927.28,0.50,99.88
20,1052959.20,0.52,100.27
21,1054369.18,0.51,100.27
22,1162142.97,0.48,100.29
23,1105589.87,0.50,99.49
24,996398.30,0.56,98.58
25,1170382.14,0.50,98.48
26,1075304.91,0.52,98.34
27,1105065.32,0.51,98.24
28,1251422.81,0.50,98.19
29,1156754.77,0.51,98.10
30,1208001.84,0.50,98.04
31,1209511.32,0.54,97.50
32,1179068.37,0.50,97.92
33,1159025.53,0.49,98.21
34,1290591.54,0.47,98.41
35,1179937.93,0.50,98.54
36,1179316.13,0.50,98.75
37,1339725.80,0.48,98.81
38,1100935.91,0.56,98.37
39,1021612.56,0.51,98.82
40,1123221.97,0.50,99.03
41,991293.46,0.54,98.98
42,925294.86,0.60,98.05
43,1025123.14,0.57,97.58
44,1037641.72,0.51,94.05
45,958698.28,0.57,91.78
46,1083142.26,0.50,92.55
47,980532.26,0.53,97.23
48,977003.14,0.53,99.13
49,1051013.26,0.51,99.87
50,957766.62,0.53,100.26
51,999735.57,0.54,99.52
52,1017727.09,0.56,98.68
53,995011.16,0.52,98.81
54,985124.61,0.52,98.82
55,1096261.93,0.49,98.97
56,989474.00,0.51,99.06
57,867722.05,0.50,99.17
58,979314.67,0.47,99.25
59,852451.36,0.56,95.47
60,802325.09,0.51,96.48
61,981534.10,0.48,97.91
62,796049.14,0.59,97.76
63,904855.69,0.51,94.56
64,1020510.25,0.48,96.90
65,911959.36,0.51,97.99
66,868534.94,0.57,97.72
67,1098517.07,0.47,98.11
68,987956.89,0.50,98.44
69,965278.31,0.51,98.45
70,1140457.10,0.47,98.42
71,1033323.80,0.51,98.32
72,1036750.29,0.51,98.24
73,1126300.91,0.53,97.53
74,1097116.89,0.51,97.94
75,1158028.73,0.50,98.29
76,1345792.37,0.47,98.59
77,1231514.38,0.51,98.67
78,1127595.58,0.51,98.81
79,1284296.09,0.48,98.82
80,1027633.12,0.58,97.96
81,1113091.45,0.52,98.23
82,1140876.91,0.51,97.76
83,1113078.83,0.58,97.57
84,1092882.08,0.58,97.31
85,1346431.67,0.49,93.21
86,1226579.58,0.51,90.96
87,1092495.57,0.59,94.12
88,1373987.29,0.49,96.27
89,1207774.27,0.53,97.23
90,1210539.56,0.53,97.64
91,1337680.07,0.51,97.84
92,1157495.98,0.55,97.86
93,1156836.02,0.53,97.88
94,1197772.13,0.55,97.17
95,1131108.37,0.51,97.64
96,1125307.62,0.52,97.86
97,1264562.36,0.51,97.99
98,1125263.52,0.53,98.05
99,1109946.84,0.53,98.10
100,1205293.20,0.50,98.13
101,1058417.45,0.53,91.70
102,1028739.89,0.61,90.78
103,830634.70,0.65,97.48
104,931491.64,0.56,99.87
105,1043370.32,0.53,99.72
106,921616.41,0.52,99.95
107,845813.52,0.58,99.25
108,1001474.81,0.50,92.55
109,883259.60,0.53,96.28
110,886784.60,0.52,96.31
111,945926.65,0.54,95.57
112,852179.28,0.55,95.73
113,821957.07,0.58,102.30
114,872943.73,0.63,98.63
115,822982.72,0.67,95.80
