year,gdp,fish_income,farm_income,population
0,947610.99,2232.419245283019,2182.726575342466,500
1,924027.86,2218.9664000000002,2212.9628,506
2,936162.21,2227.71375,2243.4932,510
3,827450.82,2184.146170212766,637.7409090909091,513
4,936712.99,3760.2357777777775,1987.3530666666668,515
5,875192.56,2026.518913043478,2038.6053333333332,513
6,904379.3,2142.360888888889,1862.8319999999999,514
7,804472.67,3760.8059999999996,872.6085333333333,513
8,826799.61,2059.1717391304346,874.1313157894737,514
9,1000241.05,2290.0197872340423,1979.7868,512
10,981671.55,4284.785416666667,686.14,512
11,1015271.05,2346.8175,2207.9732894736844,511
12,1000947.76,2321.0932653061227,2067.5808,510
13,1140402.1,4259.898039215686,2146.6648684210527,507
14,1073194.81,2407.156603773585,2250.0493421052633,506
15,1044928.38,2418.326603773585,1686.9102564102564,503
16,1140952.85,4433.675,1694.5063636363636,501
17,990172.75,2495.922115384615,751.2123287671233,501
18,1054540.02,2291.418518518519,2151.71397260274,500
19,1168927.28,4188.481320754717,2263.011486486487,501
20,1052959.2,2357.1522641509437,2148.0836231884055,502
21,1054369.18,2347.068148148148,2148.0327142857145,503
22,1162142.97,4323.1916363636365,2118.079565217391,503
23,1105589.87,2588.3335185185188,2398.619230769231,504
24,996398.3,2675.586111111111,821.7021875,503
25,1170382.14,4880.087169811321,1815.80171875,503
26,1075304.91,2818.98679245283,1858.6729687499999,501
27,1105065.32,2863.775185185185,1900.7830769230768,499
28,1251422.81,5117.674545454545,1904.7095522388058,503
29,1156754.77,2996.689107142857,1966.4668656716417,501
30,1208001.84,2997.391071428571,2738.527794117647,497
31,1209511.32,5187.207017543859,997.1574626865672,500
32,1179068.37,3011.8945614035088,2526.913235294118,502
33,1159025.53,2920.9312280701756,2574.677794117647,498
34,1290591.54,5063.069482758621,2592.6325,501
35,1179937.93,2859.2410169491527,2527.64421875,501
36,1179316.13,2814.8760344827588,2624.215079365079,500
37,1339725.8,5111.858813559322,2583.03109375,502
38,1100935.91,3005.1991379310343,961.5862295081968,501
39,1021612.56,2740.3526530612244,2353.1101886792453,500
40,1123221.97,4708.0890196078435,2230.2456603773585,501
41,991293.46,2699.6680769230766,1779.8061224489795,498
42,925294.86,2690.839454545455,417.20576923076925,496
43,1025123.14,4534.3014814814815,401.555,501
44,1037641.72,2618.736909090909,2222.7523214285716,503
45,958698.28,2619.0585185185187,760.671052631579,504
46,1083142.26,4298.3519230769225,2219.8973214285716,501
47,980532.26,2451.5975000000003,2095.9960344827587,502
48,977003.14,2490.539423076923,2222.351833333333,502
49,1051013.26,4365.991509433962,2104.1788333333334,503
50,957766.62,2455.4764150943397,2229.754912280702,503
51,999735.57,2622.5067272727274,2102.148448275862,502
52,1017727.09,4245.6058620689655,745.5320689655173,501
53,995011.16,2466.02779661017,2259.669649122807,501
54,985124.61,2389.026896551724,2139.754655172414,502
55,1096261.93,4134.229672131148,2151.7101724137933,505
56,989474.0,2332.555081967213,2244.366896551724,505
57,867722.05,2126.4298305084744,1933.2333333333333,505
58,979314.67,3794.000666666667,1946.88,505
59,852451.36,2214.535737704918,649.555576923077,503
60,802325.09,1990.739827586207,2052.7785454545456,505
61,981534.1,3657.5943333333335,1947.5712962962964,508
62,796049.14,2040.297,305.7161111111111,506
63,904855.69,2080.053064516129,2139.401296296296,509
64,1020510.25,3834.9327419354836,2082.5677192982457,508
65,911959.36,2150.955384615385,2029.5817241379311,505
66,868534.94,2227.5601515151516,632.8982758620689,505
67,1098517.07,3986.2982857142856,1956.650655737705,508
68,987956.89,2274.2617808219175,2112.496666666667,506
69,965278.31,2314.343888888889,1520.0178125,505
70,1140457.1,4145.237222222222,2104.4817741935485,504
71,1033323.8,2411.6346575342463,2005.2626153846154,505
72,1036750.29,2343.3617105263156,1877.8542028985507,508
73,1126300.91,4167.39,632.7318571428572,508
74,1097116.89,2453.39012345679,1826.685479452055,509
75,1158028.73,2504.073253012048,2042.6018666666669,510
76,1345792.37,4436.548928571428,2013.1471428571426,512
77,1231514.38,2588.252941176471,1945.605974025974,515
78,1127595.58,2359.4348192771085,1969.2335897435898,513
79,1284296.09,4236.968192771084,2008.7223076923076,513
80,1027633.12,2433.696219512195,653.4617105263158,510
81,1113091.45,2451.2867088607595,1822.5636,510
82,1140876.91,4286.762467532468,1923.5901315789474,508
83,1113078.83,2714.6902597402595,926.2258666666667,508
84,1092882.08,2709.512435897436,861.8206756756757,505
85,1346431.67,4728.9646913580245,2002.8385333333335,508
86,1226579.58,2742.2843902439026,2409.4282432432433,509
87,1092495.57,2736.2750632911393,802.6804109589041,508
88,1373987.29,4673.3523076923075,2375.5654166666664,505
89,1207774.27,2708.501153846154,2196.378309859155,506
90,1210539.56,2656.5354666666667,2332.998513513514,508
91,1337680.07,4583.1647297297295,2210.9122972972973,503
92,1157495.98,2677.7067532467536,1686.7127777777778,505
93,1156836.02,2687.6227272727274,2337.828611111111,500
94,1197772.13,4629.156538461539,833.8602777777778,499
95,1131108.37,2780.9732467532467,2225.203088235294,498
96,1125307.62,2797.5427631578946,2170.223676470588,501
97,1264562.36,4740.4825675675675,2146.148805970149,503
98,1125263.52,2764.1033333333335,2398.93859375,503
99,1109946.84,2706.514411764706,2384.606307692308,505
100,1205293.2,4646.917611940298,2544.3923880597017,501
101,1058417.45,2727.4998484848484,2565.1023076923075,501
102,1028739.89,4619.2453125,471.79876923076927,498
103,830634.7,2640.717903225807,432.5028125,498
104,931491.64,2559.519661016949,2256.6265625,499
105,1043370.32,4270.696724137931,2312.0672131147544,498
