year,F,M,X,Total
0,61,56,7,124
1,56,58,7,121
2,55,56,7,118
3,54,52,7,113
4,50,53,6,109
5,51,50,6,107
6,52,45,6,103
7,51,43,5,99
8,46,44,5,95
9,46,41,5,92
10,44,42,4,90
11,39,41,4,84
12,40,36,4,80
13,37,38,3,78
14,38,37,3,78
15,41,37,4,82
16,42,37,5,84
17,42,38,5,85
18,45,40,4,89
19,47,40,4,91
20,47,44,4,95
21,47,49,4,100
22,49,53,4,106
23,49,57,4,110
24,49,61,5,115
25,51,64,4,119
26,53,67,4,124
27,52,73,4,129
28,53,75,5,133
29,54,79,5,138
30,57,82,5,144
31,60,83,4,147
32,62,83,4,149
33,64,84,3,151
34,64,83,4,151
35,66,81,4,151
36,66,81,4,151
37,66,81,4,151
38,70,77,5,152
39,74,74,5,153
40,78,71,5,154
41,81,71,5,157
42,85,70,4,159
43,83,73,4,160
44,84,71,4,159
45,85,68,4,157
46,84,70,3,157
47,86,67,3,156
48,85,65,4,154
49,84,63,5,152
50,84,62,6,152
51,80,64,6,150
52,82,64,4,150
53,82,65,4,151
54,81,65,4,150
55,79,66,4,149
56,76,67,4,147
57,74,67,4,145
58,71,68,4,143
59,70,66,4,140
60,67,66,4,137
61,68,63,4,135
62,65,65,4,134
63,64,64,4,132
64,66,58,5,129
65,61,60,6,127
66,57,63,5,125
67,56,64,4,124
68,54,65,3,122
69,56,61,3,120
70,51,64,3,118
71,48,64,4,116
72,48,62,4,114
73,49,60,4,113
74,51,57,3,111
75,49,56,3,108
76,48,54,3,105
77,46,52,3,101
78,44,50,3,97
79,43,48,3,94
80,43,46,3,92
81,44,44,3,91
82,44,46,2,92
83,45,46,1,92
84,49,41,2,92
85,51,39,2,92
86,51,38,2,91
87,49,39,3,91
88,48,39,3,90
89,51,36,2,89
90,49,37,2,88
91,50,37,2,89
92,49,40,2,91
93,50,44,2,96
94,52,47,2,101
95,53,50,5,108
96,55,52,6,113
97,56,54,7,117
98,59,53,8,120
99,60,55,8,123
100,60,58,8,126
