Year,Farmer Income,Fisher Income,Difference (Fisher - Farmer)
0,2182.726575342466,2232.419245283019,49.69266994055306
1,2212.9628,2218.9664000000002,6.003600000000461
2,2243.4932,2227.71375,-15.779449999999997
3,637.7409090909091,2184.146170212766,1546.4052611218567
4,1987.3530666666668,3760.2357777777775,1772.8827111111107
5,2038.6053333333332,2026.518913043478,-12.086420289855141
6,1862.8319999999999,2142.360888888889,279.528888888889
7,872.6085333333333,3760.8059999999996,2888.1974666666665
8,874.1313157894737,2059.1717391304346,1185.0404233409608
9,1979.7868,2290.0197872340423,310.2329872340422
10,686.14,4284.785416666667,3598.6454166666667
11,2207.9732894736844,2346.8175,138.8442105263157
12,2067.5808,2321.0932653061227,253.51246530612252
13,2146.6648684210527,4259.898039215686,2113.2331707946337
14,2250.0493421052633,2407.156603773585,157.10726166832183
15,1686.9102564102564,2418.326603773585,731.4163473633284
16,1694.5063636363636,4433.675,2739.1686363636363
17,751.2123287671233,2495.922115384615,1744.7097866174918
18,2151.71397260274,2291.418518518519,139.7045459157789
19,2263.011486486487,4188.481320754717,1925.46983426823
20,2148.0836231884055,2357.1522641509437,209.0686409625382
21,2148.0327142857145,2347.068148148148,199.03543386243336
22,2118.079565217391,4323.1916363636365,2205.1120711462454
23,2398.619230769231,2588.3335185185188,189.7142877492879
24,821.7021875,2675.586111111111,1853.8839236111112
25,1815.80171875,4880.087169811321,3064.2854510613206
26,1858.6729687499999,2818.98679245283,960.31382370283
27,1900.7830769230768,2863.775185185185,962.9921082621081
28,1904.7095522388058,5117.674545454545,3212.9649932157395
29,1966.4668656716417,2996.689107142857,1030.2222414712155
30,2738.527794117647,2997.391071428571,258.86327731092433
31,997.1574626865672,5187.207017543859,4190.049554857293
32,2526.913235294118,3011.8945614035088,484.9813261093909
33,2574.677794117647,2920.9312280701756,346.25343395252867
34,2592.6325,5063.069482758621,2470.436982758621
35,2527.64421875,2859.2410169491527,331.59679819915254
36,2624.215079365079,2814.8760344827588,190.6609551176798
37,2583.03109375,5111.858813559322,2528.827719809322
38,961.5862295081968,3005.1991379310343,2043.6129084228376
39,2353.1101886792453,2740.3526530612244,387.24246438197906
40,2230.2456603773585,4708.0890196078435,2477.843359230485
41,1779.8061224489795,2699.6680769230766,919.861954474097
42,417.20576923076925,2690.839454545455,2273.6336853146854
43,401.555,4534.3014814814815,4132.746481481481
44,2222.7523214285716,2618.736909090909,395.9845876623376
45,760.671052631579,2619.0585185185187,1858.3874658869397
46,2219.8973214285716,4298.3519230769225,2078.454601648351
47,2095.9960344827587,2451.5975000000003,355.60146551724165
48,2222.351833333333,2490.539423076923,268.1875897435898
49,2104.1788333333334,4365.991509433962,2261.812676100629
50,2229.754912280702,2455.4764150943397,225.72150281363793
51,2102.148448275862,2622.5067272727274,520.3582789968655
52,745.5320689655173,4245.6058620689655,3500.073793103448
53,2259.669649122807,2466.02779661017,206.35814748736266
54,2139.754655172414,2389.026896551724,249.2722413793099
55,2151.7101724137933,4134.229672131148,1982.5194997173544
56,2244.366896551724,2332.555081967213,88.18818541548899
57,1933.2333333333333,2126.4298305084744,193.19649717514108
58,1946.88,3794.000666666667,1847.1206666666667
59,649.555576923077,2214.535737704918,1564.9801607818413
60,2052.7785454545456,1990.739827586207,-62.03871786833861
61,1947.5712962962964,3657.5943333333335,1710.023037037037
62,305.7161111111111,2040.297,1734.580888888889
63,2139.401296296296,2080.053064516129,-59.348231780167225
64,2082.5677192982457,3834.9327419354836,1752.3650226372379
65,2029.5817241379311,2150.955384615385,121.37366047745377
66,632.8982758620689,2227.5601515151516,1594.6618756530827
67,1956.650655737705,3986.2982857142856,2029.6476299765807
68,2112.496666666667,2274.2617808219175,161.76511415525056
69,1520.0178125,2314.343888888889,794.3260763888891
70,2104.4817741935485,4145.237222222222,2040.7554480286735
71,2005.2626153846154,2411.6346575342463,406.37204214963094
72,1877.8542028985507,2343.3617105263156,465.5075076277649
73,632.7318571428572,4167.39,3534.658142857143
74,1826.685479452055,2453.39012345679,626.7046440047352
75,2042.6018666666669,2504.073253012048,461.47138634538123
76,2013.1471428571426,4436.548928571428,2423.401785714286
77,1945.605974025974,2588.252941176471,642.6469671504967
78,1969.2335897435898,2359.4348192771085,390.2012295335187
79,2008.7223076923076,4236.968192771084,2228.245885078777
80,653.4617105263158,2433.696219512195,1780.2345089858793
81,1822.5636,2451.2867088607595,628.7231088607596
82,1923.5901315789474,4286.762467532468,2363.1723359535204
83,926.2258666666667,2714.6902597402595,1788.4643930735929
84,861.8206756756757,2709.512435897436,1847.69176022176
85,2002.8385333333335,4728.9646913580245,2726.126158024691
86,2409.4282432432433,2742.2843902439026,332.85614700065935
87,802.6804109589041,2736.2750632911393,1933.5946523322352
88,2375.5654166666664,4673.3523076923075,2297.786891025641
89,2196.378309859155,2708.501153846154,512.1228439869992
90,2332.998513513514,2656.5354666666667,323.5369531531528
91,2210.9122972972973,4583.1647297297295,2372.252432432432
92,1686.7127777777778,2677.7067532467536,990.9939754689758
93,2337.828611111111,2687.6227272727274,349.79411616161633
94,833.8602777777778,4629.156538461539,3795.296260683761
95,2225.203088235294,2780.9732467532467,555.7701585179525
96,2170.223676470588,2797.5427631578946,627.3190866873065
97,2146.148805970149,4740.4825675675675,2594.3337615974183
98,2398.93859375,2764.1033333333335,365.16473958333336
99,2384.606307692308,2706.514411764706,321.90810407239815
100,2544.3923880597017,4646.917611940298,2102.5252238805965
